	20B-2	19A-4	20B-1	19A-1	19A-3	19A-2	20A-1	20A-3	20A-2	20C-1	19B-4	19B-2	19B-3	19B-1
20B-2	0	10	2	7	12	10	5	3	4	5	14	9	12	16
19A-4	10	0	12	3	6	4	9	7	8	9	8	5	8	12
20B-1	2	12	0	9	14	12	7	5	6	7	16	11	14	18
19A-1	7	3	9	0	5	3	6	4	5	6	7	2	5	9
19A-3	12	6	14	5	0	6	11	9	10	11	12	7	10	14
19A-2	10	4	12	3	6	0	9	7	8	9	10	5	8	12
20A-1	5	9	7	6	11	9	0	2	1	2	13	8	11	15
20A-3	3	7	5	4	9	7	2	0	1	2	11	6	9	13
20A-2	4	8	6	5	10	8	1	1	0	1	12	7	10	14
20C-1	5	9	7	6	11	9	2	2	1	0	13	8	11	15
19B-4	14	8	16	7	12	10	13	11	12	13	0	5	8	12
19B-2	9	5	11	2	7	5	8	6	7	8	5	0	3	7
19B-3	12	8	14	5	10	8	11	9	10	11	8	3	0	10
19B-1	16	12	18	9	14	12	15	13	14	15	12	7	10	0
