accession	seq_len	N_count	nearest_clade	dist_to_nearest_clade
EPI_ISL_534910	29623	0	19A-4	0
EPI_ISL_538502	29623	0	20A-1	0
EPI_ISL_577323	29623	1704	20B-2	0
EPI_ISL_539637	29623	14	20B-2	0
EPI_ISL_509754	29623	150	20C-1	0
EPI_ISL_525366	29623	2	20B-2	1
EPI_ISL_484962	29623	1	20C-1	0
EPI_ISL_484944	29623	1	20C-1	0
EPI_ISL_484989	29623	1	20C-1	0
EPI_ISL_484952	29623	1	20C-1	0
EPI_ISL_484808	29623	1	20C-1	0
EPI_ISL_467505	29623	403	20A-3	1
EPI_ISL_559807	29623	0	20A-2	0
EPI_ISL_480672	29623	1	20B-2	0
EPI_ISL_455391	29623	0	19A-1	0
EPI_ISL_416687	29623	0	19B-3	0
EPI_ISL_538303	29623	532	20B-2	0
EPI_ISL_552727	29623	290	20A-1	0
EPI_ISL_551186	29623	290	20A-1	0
EPI_ISL_561654	29623	798	20B-2	0
EPI_ISL_494231	29623	1	19A-4	0
EPI_ISL_477134	29623	1	20A-1	0
EPI_ISL_570074	29623	0	20C-1	0
EPI_ISL_418320	29623	6	19A-4	0
EPI_ISL_433471	29623	5	20B-2	0
EPI_ISL_438711	29623	5	20B-2	0
EPI_ISL_438712	29623	5	20B-2	0
EPI_ISL_465009	29623	1457	19A-4	0
EPI_ISL_556276	29623	0	20B-2	0
EPI_ISL_557072	29623	0	20B-2	0
EPI_ISL_557925	29623	0	20B-2	0
EPI_ISL_451312	29623	0	19A-1	0
EPI_ISL_540838	29623	1003	20B-1	0
EPI_ISL_569972	29623	17	20B-2	0
EPI_ISL_488947	29623	0	20A-3	0
EPI_ISL_491422	29623	219	20A-3	0
EPI_ISL_432051	29623	1154	19A-4	0
EPI_ISL_512426	29623	4	20B-2	0
EPI_ISL_570148	29623	0	20A-1	0
EPI_ISL_513551	29623	119	20B-2	0
EPI_ISL_471908	29623	15	20A-3	0
EPI_ISL_565771	29623	1	20B-2	0
EPI_ISL_572471	29623	1079	20A-3	0
EPI_ISL_479673	29623	1139	20C-1	0
EPI_ISL_468160	29623	0	20A-2	1
EPI_ISL_435077	29623	462	19A-3	0
EPI_ISL_458359	29623	295	20B-2	0
