accession	parent_clade1	parent_clade2	tclade1_dist	clade2_dist	num_supporting_SNPs	recombination_break_points	breakpoint_midpoint_sites
EPI_ISL_1003885	20B-1	20A-3	3	2	5	1	26188
EPI_ISL_1003885	20B-1	20A-2	3	3	6	1	27104
EPI_ISL_1003885	20B-1	20A-1	3	4	7	1	27104
EPI_ISL_1003885	20B-1	20C-1	3	4	7	1	27104
EPI_ISL_1003885	20B-1	19A-1	3	6	9	1	26188
EPI_ISL_1003885	20B-1	19B-2	3	8	11	1	28394
EPI_ISL_1003885	19A-4	20B-1	9	3	12	1	27394
EPI_ISL_1003885	20B-1	19A-2	3	9	12	1	28666
EPI_ISL_1003885	20B-1	19A-3	3	11	14	1	28478
EPI_ISL_1003885	20B-1	19B-3	3	11	14	1	28394
EPI_ISL_1003885	20B-1	19B-4	3	13	16	1	28754
EPI_ISL_1003885	20B-1	19B-1	3	15	18	2	28394,29173
EPI_ISL_414430	19A-4	20A-3	2	5	7	3	1521,6942,24655
EPI_ISL_414430	19A-4	20A-2	2	6	8	3	1521,6942,25735
EPI_ISL_414430	19A-4	20A-1	2	7	9	3	1521,6942,25735
EPI_ISL_414430	19A-4	20C-1	2	7	9	3	1930,6942,25735
EPI_ISL_414430	20B-2	19A-4	8	2	10	4	1521,6942,24655,27394
EPI_ISL_414430	19A-4	20B-1	2	10	12	4	1521,6449,24819,27394
EPI_ISL_415539	19A-2	19B-3	3	5	8	4	4971,17841,22984,28298
EPI_ISL_415539	19A-4	19B-3	3	5	8	4	12826,16158,17841,27026
EPI_ISL_415539	19A-3	19B-3	5	5	10	6	7429,12288,15620,17841,25918,28109
EPI_ISL_416539	19B-2	19B-1	2	5	7	3	21267,25263,28770
EPI_ISL_416539	19A-1	19B-1	4	5	9	5	5861,13641,21267,25263,27992
EPI_ISL_416539	19B-3	19B-1	5	5	10	5	10344,18280,21267,25263,28770
EPI_ISL_416539	19A-4	19B-1	7	5	12	5	5861,16652,21267,26318,27992
EPI_ISL_416539	19B-4	19B-1	7	5	12	5	6209,16652,21267,26236,28249
EPI_ISL_416539	19A-3	19B-1	9	5	14	5	4626,16115,21214,25263,27992
EPI_ISL_416539	19A-2	19B-1	7	5	12	7	825,2169,5861,14791,21267,25263,27992
EPI_ISL_416539	20A-3	19B-1	8	5	13	8	247,1645,2989,5861,16454,20951,25263,27992
EPI_ISL_416539	20A-2	19B-1	9	5	14	8	247,1645,2989,5861,16454,20951,26028,27992
EPI_ISL_416539	20A-1	19B-1	10	5	15	8	247,1645,2989,5861,16454,18688,26028,27992
